run_id,method,seq,command_type,linear_x,linear_y,angular_z,action_id,t_unity_send_ns,payload_size_bytes
R01,ROS_TCP,1,stop,0.0,0.0,0.0,0,1782054479999057322,62
R01,ROS_TCP,2,stop,0.0,0.0,0.0,0,1782054480079077593,65
R01,ROS_TCP,3,stop,0.0,0.0,0.0,0,1782054480158955866,60
R01,ROS_TCP,4,stop,0.0,0.0,0.0,0,1782054480239277549,59
R01,ROS_TCP,5,stop,0.0,0.0,0.0,0,1782054480321291356,65
R01,ROS_TCP,6,stop,0.0,0.0,0.0,0,1782054480400008416,60
R01,ROS_TCP,7,stop,0.0,0.0,0.0,0,1782054480480135211,58
R01,ROS_TCP,8,stop,0.0,0.0,0.0,0,1782054480562552398,63
R01,ROS_TCP,9,stop,0.0,0.0,0.0,0,1782054480641548637,62
R01,ROS_TCP,10,stop,0.0,0.0,0.0,0,1782054480720998417,62
R01,ROS_TCP,11,stop,0.0,0.0,0.0,0,1782054480799366866,63
R01,ROS_TCP,12,stop,0.0,0.0,0.0,0,1782054480880069303,60
R01,ROS_TCP,13,stop,0.0,0.0,0.0,0,1782054480960462956,58
R01,ROS_TCP,14,stop,0.0,0.0,0.0,0,1782054481040812605,65
R01,ROS_TCP,15,stop,0.0,0.0,0.0,0,1782054481121618143,59
R01,ROS_TCP,16,stop,0.0,0.0,0.0,0,1782054481200324391,61
R01,ROS_TCP,17,stop,0.0,0.0,0.0,0,1782054481279594604,58
R01,ROS_TCP,18,stop,0.0,0.0,0.0,0,1782054481359199321,59
R01,ROS_TCP,19,stop,0.0,0.0,0.0,0,1782054481439294179,64
R01,ROS_TCP,20,stop,0.0,0.0,0.0,0,1782054481519306888,59
R01,ROS_TCP,21,stop,0.0,0.0,0.0,0,1782054481598823760,59
R01,ROS_TCP,22,stop,0.0,0.0,0.0,0,1782054481681802873,62
R01,ROS_TCP,23,stop,0.0,0.0,0.0,0,1782054481759208243,58
R01,ROS_TCP,24,stop,0.0,0.0,0.0,0,1782054481841204015,64
R01,ROS_TCP,25,stop,0.0,0.0,0.0,0,1782054481920065301,63
R01,ROS_TCP,26,stop,0.0,0.0,0.0,0,1782054482000779912,62
R01,ROS_TCP,27,stop,0.0,0.0,0.0,0,1782054482081620696,62
R01,ROS_TCP,28,stop,0.0,0.0,0.0,0,1782054482162062429,59
R01,ROS_TCP,29,velocity,0.0494,0.0,0.0,0,1782054482242176772,83
R01,ROS_TCP,30,velocity,0.0547,0.0,0.0,0,1782054482321585318,75
R01,ROS_TCP,31,velocity,0.0526,0.0,0.0,0,1782054482400724659,77
R01,ROS_TCP,32,velocity,0.0496,0.0,0.0,0,1782054482481338297,72
R01,ROS_TCP,33,velocity,0.064,0.0,0.0,0,1782054482559886725,76
R01,ROS_TCP,34,velocity,0.0582,0.0,0.0,0,1782054482640808203,73
R01,ROS_TCP,35,velocity,0.0505,0.0,0.0,0,1782054482720723718,80
R01,ROS_TCP,36,velocity,0.0552,0.0,0.0,0,1782054482800317797,79
R01,ROS_TCP,37,velocity,0.0606,0.0,0.0,0,1782054482880434789,74
R01,ROS_TCP,38,velocity,0.0599,0.0,0.0,0,1782054482961888756,73
