session_id,condition_id,participant_id,seq,t_frame_ns,size_bytes,mode
S00,C0,P00,1,770000000000000,374,COLOR
S00,C0,P00,2,770000050005876,359,COLOR
S00,C0,P00,3,770000091100716,369,COLOR
S00,C0,P00,4,770000152176113,458,COLOR
S00,C0,P00,5,770000198068775,483,COLOR
S00,C0,P00,6,770000253351515,389,COLOR
S00,C0,P00,7,770000303688487,433,COLOR
S00,C0,P00,8,770000352618594,443,COLOR
S00,C0,P00,9,770000422308185,529,COLOR
S00,C0,P00,10,770000482423908,479,COLOR
S00,C0,P00,11,770000544219069,441,COLOR
S00,C0,P00,12,770000589888759,372,COLOR
S00,C0,P00,13,770000648356780,441,COLOR
S00,C0,P00,14,770000697496663,446,COLOR
S00,C0,P00,15,770000735393386,507,COLOR
S00,C0,P00,16,770000784689271,407,COLOR
S00,C0,P00,17,770000847528159,446,COLOR
S00,C0,P00,18,770000892523913,535,COLOR
S00,C0,P00,19,770000939157728,364,COLOR
S00,C0,P00,20,770000982137358,368,COLOR
S00,C0,P00,21,770001042059667,387,COLOR
S00,C0,P00,22,770001094316208,469,COLOR
S00,C0,P00,23,770001147249185,405,COLOR
S00,C0,P00,24,770001214695521,392,COLOR
S00,C0,P00,25,770001271162073,373,COLOR
S00,C0,P00,26,770001323361290,416,COLOR
S00,C0,P00,27,770001370559850,368,COLOR
S00,C0,P00,28,770001423356370,517,COLOR
S00,C0,P00,29,770001473009548,439,COLOR
